epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.8633,1.05145,1.24363,1.14747,0.64924,0.76184,0.78016,0.55122,1.03804,1.07456,1.14653,0.000301635,0.000301635,0.000301635
2,98.6206,1.03503,0.88199,1.14023,0.71947,0.57238,0.68103,0.45541,1.12919,1.22619,1.24626,0.000598649,0.000598649,0.000598649
3,145.049,1.06972,0.89818,1.18582,0.75246,0.65473,0.68728,0.4843,1.02305,1.18192,1.15381,0.000889664,0.000889664,0.000889664
4,191.797,1.02666,0.82776,1.1515,0.73473,0.69067,0.74079,0.54409,0.9598,0.87758,1.12033,0.000882003,0.000882003,0.000882003
5,238.157,0.98212,0.75571,1.14246,0.78515,0.8167,0.85479,0.60449,1.00108,0.70788,1.13314,0.000873004,0.000873004,0.000873004
6,285.941,0.966,0.71067,1.1282,0.89958,0.91217,0.93466,0.69268,0.94101,0.61686,1.08799,0.000864004,0.000864004,0.000864004
7,332.794,0.94656,0.68222,1.11241,0.87533,0.78574,0.87781,0.65546,0.90483,0.64602,1.06859,0.000855005,0.000855005,0.000855005
8,379.356,0.92412,0.65443,1.09352,0.94072,0.93107,0.96053,0.72868,0.86255,0.59701,1.05067,0.000846006,0.000846006,0.000846006
9,426.151,0.88473,0.61189,1.08351,0.9344,0.89035,0.94977,0.73142,0.8292,0.54051,1.02618,0.000837007,0.000837007,0.000837007
10,473.123,0.88343,0.60809,1.08119,0.91159,0.86384,0.92973,0.69499,0.86911,0.56199,1.0484,0.000828008,0.000828008,0.000828008
11,519.618,0.85784,0.58497,1.07561,0.90243,0.90729,0.9436,0.72794,0.8302,0.51972,1.03125,0.000819009,0.000819009,0.000819009
12,566.001,0.85853,0.58403,1.07399,0.89405,0.90432,0.91027,0.69957,0.84191,0.50403,1.0265,0.00081001,0.00081001,0.00081001
13,612.484,0.82887,0.56306,1.05898,0.92557,0.90125,0.93827,0.74762,0.79715,0.5087,1.00902,0.000801011,0.000801011,0.000801011
14,659.189,0.81334,0.54104,1.04765,0.92839,0.93187,0.96216,0.77788,0.77505,0.4692,0.99416,0.000792012,0.000792012,0.000792012
15,705.713,0.81757,0.53165,1.05188,0.95858,0.93418,0.97084,0.77714,0.77316,0.4514,0.99113,0.000783013,0.000783013,0.000783013
16,752.158,0.8051,0.54201,1.04683,0.92423,0.89887,0.94584,0.73179,0.77749,0.48352,0.99296,0.000774013,0.000774013,0.000774013
17,798.332,0.79785,0.51747,1.05321,0.97213,0.9313,0.95353,0.76414,0.77145,0.45282,0.99713,0.000765014,0.000765014,0.000765014
18,844.891,0.78884,0.51167,1.03757,0.96952,0.89164,0.96481,0.76269,0.75156,0.44499,0.99239,0.000756015,0.000756015,0.000756015
19,891.194,0.76974,0.49589,1.02485,0.9328,0.93585,0.96424,0.78464,0.73949,0.43065,0.97964,0.000747016,0.000747016,0.000747016
20,938.06,0.76012,0.4871,1.02013,0.95301,0.91037,0.96439,0.77492,0.75069,0.45243,0.9844,0.000738017,0.000738017,0.000738017
21,985.015,0.76377,0.48777,1.02146,0.94812,0.94707,0.96966,0.79229,0.72982,0.41714,0.98269,0.000729018,0.000729018,0.000729018
22,1031.46,0.75467,0.47153,1.0144,0.95985,0.93649,0.97306,0.78124,0.74456,0.42739,0.97602,0.000720019,0.000720019,0.000720019
23,1077.87,0.76136,0.47688,1.02193,0.97105,0.94647,0.97735,0.7792,0.74389,0.41609,0.98279,0.00071102,0.00071102,0.00071102
24,1124.41,0.74514,0.47359,1.0178,0.97657,0.92868,0.97276,0.79203,0.72509,0.40535,0.97429,0.000702021,0.000702021,0.000702021
25,1170.44,0.72932,0.46005,1.00589,0.92188,0.91814,0.95175,0.75639,0.72524,0.43666,0.97928,0.000693022,0.000693022,0.000693022
26,1216.7,0.73965,0.46172,1.01407,0.97168,0.94059,0.97198,0.78347,0.72649,0.40587,0.98506,0.000684022,0.000684022,0.000684022
27,1263.21,0.72275,0.44729,1.00705,0.97549,0.92012,0.96563,0.78884,0.7242,0.41178,0.98606,0.000675023,0.000675023,0.000675023
28,1309.62,0.72556,0.45011,1.00307,0.92268,0.95894,0.9654,0.78347,0.71945,0.39599,0.97905,0.000666024,0.000666024,0.000666024
29,1355.8,0.72809,0.44559,1.01034,0.94354,0.94309,0.96691,0.77441,0.73519,0.40002,0.98155,0.000657025,0.000657025,0.000657025
